Jintra	DeltaJ	Freq1	Freq2	Freq3
-16.700000	-8.543333	0.000000	17.649600	17.649600
-16.700000	-9.040000	0.000000	17.756683	17.756683
-16.700000	-9.536667	0.000000	17.868400	17.868400
-16.700000	-10.033333	0.000000	17.984546	17.984546
-16.700000	-10.530000	0.000000	18.104917	18.104917
-16.700000	-11.026667	0.000000	18.229301	18.229301
-16.700000	-11.523333	0.000000	18.357488	18.357488
-16.700000	-12.020000	0.000000	18.489264	18.489264
-16.700000	-12.516667	0.000000	18.624413	18.624413
-16.700000	-13.013333	0.000000	18.762720	18.762720
-16.700000	-13.510000	0.000000	18.903970	18.903970
-16.700000	-14.006667	0.000000	19.047949	19.047949
-16.700000	-14.503333	0.000000	19.194441	19.194441
-16.700000	-15.000000	0.000000	19.343236	19.343236
-17.600000	-0.100000	0.000000	17.600130	17.600130
-17.600000	-0.596667	0.000000	17.604634	17.604634
-17.600000	-1.093333	0.000000	17.615552	17.615552
-17.600000	-1.590000	0.000000	17.632862	17.632862
-17.600000	-2.086667	0.000000	17.656528	17.656528
-17.600000	-2.583333	0.000000	17.686504	17.686504
-17.600000	-3.080000	0.000000	17.722731	17.722731
-17.600000	-3.576667	0.000000	17.765137	17.765137
-17.600000	-4.073333	0.000000	17.813639	17.813639
-17.600000	-4.570000	0.000000	17.868144	17.868144
-17.600000	-5.066667	0.000000	17.928546	17.928546
-17.600000	-5.563333	0.000000	17.994730	17.994730
-17.600000	-6.060000	0.000000	18.066573	18.066573
-17.600000	-6.556667	0.000000	18.143940	18.143940
-17.600000	-7.053333	0.000000	18.226690	18.226690
-17.600000	-7.550000	0.000000	18.314674	18.314674
-17.600000	-8.046667	0.000000	18.407735	18.407735
-17.600000	-8.543333	0.000000	18.505710	18.505710
-17.600000	-9.040000	0.000000	18.608429	18.608429
-17.600000	-9.536667	0.000000	18.715720	18.715720
-17.600000	-10.033333	0.000000	18.827404	18.827404
-17.600000	-10.530000	0.000000	18.943297	18.943297
-17.600000	-11.026667	0.000000	19.063215	19.063215
-17.600000	-11.523333	0.000000	19.186969	19.186969
-17.600000	-12.020000	0.000000	19.314369	19.314369
-17.600000	-12.516667	0.000000	19.445222	19.445222
-17.600000	-13.013333	0.000000	19.579335	19.579335
-17.600000	-13.510000	0.000000	19.716514	19.716514
-17.600000	-14.006667	0.000000	19.856565	19.856565
-17.600000	-14.503333	0.000000	19.999295	19.999295
-17.600000	-15.000000	0.000000	20.144511	20.144511
-18.500000	-0.100000	0.000000	18.500124	18.500124
-18.500000	-0.596667	0.000000	18.504409	18.504409
-18.500000	-1.093333	0.000000	18.514797	18.514797
-18.500000	-1.590000	0.000000	18.531268	18.531268
-18.500000	-2.086667	0.000000	18.553793	18.553793
-18.500000	-2.583333	0.000000	18.582331	18.582331
-18.500000	-3.080000	0.000000	18.616831	18.616831
-18.500000	-3.576667	0.000000	18.657232	18.657232
-18.500000	-4.073333	0.000000	18.703461	18.703461
-18.500000	-4.570000	0.000000	18.755437	18.755437
-18.500000	-5.066667	0.000000	18.813070	18.813070
-18.500000	-5.563333	0.000000	18.876259	18.876259
-18.500000	-6.060000	0.000000	18.944897	18.944897
-18.500000	-6.556667	0.000000	19.018867	19.018867
-18.500000	-7.053333	0.000000	19.098046	19.098046
-18.500000	-7.550000	0.000000	19.182303	19.182303
-18.500000	-8.046667	0.000000	19.271501	19.271501
-18.500000	-8.543333	0.000000	19.365496	19.365496
-18.500000	-9.040000	0.000000	19.464141	19.464141
-18.500000	-9.536667	0.000000	19.567281	19.567281
-18.500000	-10.033333	0.000000	19.674758	19.674758
-18.500000	-10.530000	0.000000	19.786412	19.786412
-18.500000	-11.026667	0.000000	19.902076	19.902076
-18.500000	-11.523333	0.000000	20.021584	20.021584
-18.500000	-12.020000	0.000000	20.144764	20.144764
-18.500000	-12.516667	0.000000	20.271444	20.271444
-18.500000	-13.013333	0.000000	20.401452	20.401452
-18.500000	-13.510000	0.000000	20.534611	20.534611
-18.500000	-14.006667	0.000000	20.670747	20.670747
-18.500000	-14.503333	0.000000	20.809684	20.809684
-18.500000	-15.000000	0.000000	20.951247	20.951247
-19.400000	-0.100000	0.000000	19.400118	19.400118
-19.400000	-0.596667	0.000000	19.404205	19.404205
-19.400000	-1.093333	0.000000	19.414111	19.414111
